species,paradigm,unit,f1_mean,f1_std,f1_n,auroc_mean,auroc_std,auroc_n,precision_mean,precision_std,precision_n,recall_mean,recall_std,recall_n,balanced_acc_mean,balanced_acc_std,balanced_acc_n,is_outlier,outlier_reason
monkeys,single-session,sub-02_ses-05_task-AcousStim_acq-RH_desc-raw,,,0,,,0,,,0,,,0,,,0,True,missing_f1
monkeys,single-session,sub-03_ses-01_task-AcousStim_acq-RH_desc-raw,0.23075204094250992,0.1361733306068287,3,0.4669463634490967,0.035492429527299904,3,0.2695247828960418,0.19279352882377668,3,0.2728720257679621,0.09282697567179173,3,0.2728720257679621,0.09282697567179173,3,False,
monkeys,single-session,sub-04_ses-01_task-AcousStim_acq-LH_desc-raw,0.165678987900416,0.0004333770641707726,3,0.2699099083741505,0.013324400615308232,3,0.12389257053534182,0.0004843122471704071,3,0.25,0.0,3,0.25,0.0,3,False,
monkeys,single-session,sub-04_ses-01_task-AcousStim_acq-RH_desc-raw,0.0762715339660644,0.006789839270350066,3,0.3981053829193115,0.0027508463282684696,3,0.07741003731886541,0.04528758150108997,3,0.16913011173407233,0.0028058713932522326,3,0.16913011173407233,0.0028058713932522326,3,False,
monkeys,single-session,sub-05_ses-01_task-AcousStim_acq-LH_desc-raw,0.3881671528021495,0.03569789425721867,3,0.14814814925193784,0.014748666280365624,3,0.45569413900375366,0.0990949312682812,3,0.5028058290481567,0.004859838468760093,3,0.5028058290481567,0.004859838468760093,3,False,
monkeys,single-session,sub-05_ses-01_task-AcousStim_acq-RH_desc-raw,0.0761634235580762,0.0017491536275119645,3,0.43440932035446167,0.005154140954883411,3,0.0548082441091537,0.01048508786532172,3,0.1672139366467794,0.000947890807822987,3,0.1672139366467794,0.000947890807822987,3,False,
monkeys,single-session,sub-06_ses-01_task-AcousStim_acq-RH_desc-raw,0.36760590473810834,0.056492663723296546,3,0.22295289238293958,0.00645912532921846,3,0.48979822794596356,0.041498712680616875,3,0.409222940603892,0.03758037167280546,3,0.409222940603892,0.03758037167280546,3,False,
monkeys,single-subject,sub-01,0.5298293828964233,0.009953653465091295,3,0.882106602191925,0.005381674619713087,3,0.5353748798370361,0.01024413144338493,3,0.5351124207178751,0.00776029327183353,3,0.5351124207178751,0.00776029327183353,3,False,
monkeys,single-subject,sub-02,0.3243489662806193,0.0022087094645301428,3,0.8002225359280905,0.0024875279455752724,3,0.5377724369366964,0.004592922622962322,3,0.3880892594655354,0.002363702722295129,3,0.3880892594655354,0.002363702722295129,3,False,
monkeys,single-subject,sub-03,0.20472800731658936,0.1205333358324436,3,0.46733256181081134,0.03877658175992593,3,0.27891115347544343,0.20080788481579454,3,0.26048035919666285,0.08853266124527927,3,0.26048035919666285,0.08853266124527927,3,False,
monkeys,single-subject,sub-04,0.24324365456899003,0.1652442240507908,3,0.5043154060840607,0.09408192775985615,3,0.23314843078454336,0.18089901129409375,3,0.28992320100466407,0.13802493758459394,3,0.28992320100466407,0.13802493758459394,3,False,
monkeys,single-subject,sub-05,0.5708948373794556,0.34208441444090093,3,0.6546075542767843,0.11736065923355163,3,0.6059227188428243,0.37950766653476264,3,0.588389128446579,0.2984355812573236,3,0.588389128446579,0.2984355812573236,3,False,
monkeys,single-subject,sub-06,0.35280366738637287,0.038116058451370706,3,0.21815242369969687,0.010350073013193222,3,0.4880250295003255,0.03409248362208427,3,0.4011437992254893,0.013664822117546481,3,0.4011437992254893,0.013664822117546481,3,False,
