species,embed_dim,depth,self_heads,cross_heads,channel_emb_fraction,weight_decay,n_folds,f1_mean,f1_std,auroc_mean,auroc_std,precision_mean,precision_std,recall_mean,recall_std,balanced_acc_mean,balanced_acc_std
minipigs,256,4,6,8,1/4,0.08,1,0.35206347703933716,0.0,0.7742576003074646,0.0,0.3666723370552063,0.0,0.34964197874069214,0.0,0.34964197874069214,0.0
minipigs,256,4,8,6,1/2,0.08,1,0.3723132610321045,0.0,0.7846702933311462,0.0,0.398337721824646,0.0,0.3726874589920044,0.0,0.3726874589920044,0.0
minipigs,256,4,8,6,1/3,0.08,1,0.37313738465309143,0.0,0.776207447052002,0.0,0.3761359453201294,0.0,0.3735008239746094,0.0,0.3735008239746094,0.0
minipigs,256,4,8,6,1/4,0.08,1,0.3586578965187073,0.0,0.7723212242126465,0.0,0.3684082627296448,0.0,0.3566046953201294,0.0,0.3566046953201294,0.0
monkeys,32,2,6,6,,0.08,2,0.42260807752609253,0.12855985766320388,0.8376054167747498,0.06674551946948924,0.482128843665123,0.048175891970104655,0.43451228737831116,0.11635442536238856,0.43451228737831116,0.11635442536238856
monkeys,32,2,6,6,,0.3,2,0.5134575963020325,0.0016404396377410176,0.8856935799121857,0.0029768740571729565,0.5208342671394348,0.0032098196888926678,0.5166768133640289,0.002190751038747761,0.5166768133640289,0.002190751038747761
monkeys,32,2,6,8,,0.08,2,0.5047013312578201,0.009625054721008615,0.8782727718353271,0.0041865307562841255,0.5122202038764954,0.012132307518648935,0.5089763402938843,0.010728395994751054,0.5089763402938843,0.010728395994751054
monkeys,32,2,6,8,,0.3,2,0.5090844035148621,0.00900703440786912,0.8831944763660431,0.0030626850407411365,0.5188705623149872,0.021119237879778357,0.5109664797782898,0.008197983503853997,0.5109664797782898,0.008197983503853997
monkeys,32,2,8,6,,0.08,2,0.5121324956417084,0.008285522508211124,0.882481187582016,0.0021004724892374257,0.5158497989177704,0.007303416644210272,0.5155939161777496,0.0021089018589396046,0.5155939161777496,0.0021089018589396046
monkeys,32,2,8,6,,0.3,2,0.5235077142715454,0.0006387776360311099,0.8856573700904846,0.0009719906203582381,0.525287389755249,0.0002916561916953867,0.5276112258434296,0.0049731173900429415,0.5276112258434296,0.0049731173900429415
monkeys,32,2,8,8,,0.08,2,0.5067700743675232,0.00335042157552501,0.8778541684150696,0.0036100461623521174,0.5099738240242004,0.002315126388703409,0.5093410313129425,0.005060614247551557,0.5093410313129425,0.005060614247551557
monkeys,32,2,8,8,,0.3,2,0.5067064613103867,0.010268510657224394,0.8779258131980896,0.005230676781293015,0.5086643397808075,0.006415888308267866,0.5126931965351105,0.015164899709553292,0.5126931965351105,0.015164899709553292
monkeys,32,4,6,6,,0.08,1,0.5050933957099915,0.0,0.88134765625,0.0,0.5058215856552124,0.0,0.5089889168739319,0.0,0.5089889168739319,0.0
monkeys,32,4,6,6,,0.3,1,0.5144069194793701,0.0,0.886271595954895,0.0,0.5138351917266846,0.0,0.5193390250205994,0.0,0.5193390250205994,0.0
monkeys,32,4,6,8,,0.08,2,0.5005273371934891,0.01382237507051153,0.877273678779602,0.00294876210921619,0.5041242390871048,0.011032253699090345,0.505511999130249,0.013808571977624211,0.505511999130249,0.013808571977624211
monkeys,32,4,6,8,,0.3,2,0.5049009025096893,0.008051270324187575,0.8803966641426086,0.00296149045746648,0.5110360980033875,0.008041702989575603,0.5127287805080414,0.011782109354371916,0.5127287805080414,0.011782109354371916
